x,y,yarray,xarray,r_b,D,H
0,0,1,1,0.075,4,100
3,0,1,2,0.075,4,100
6,0,1,3,0.075,4,100
9,0,1,4,0.075,4,100
12,0,1,5,0.075,4,100
15,0,1,6,0.075,4,100
18,0,1,7,0.075,4,100
21,0,1,8,0.075,4,100
24,0,1,9,0.075,4,100
27,0,1,10,0.075,4,100
1.5,2.59807621135332,2,1.5,0.075,4,100
4.5,2.59807621135332,2,2.5,0.075,4,100
7.5,2.59807621135332,2,3.5,0.075,4,100
10.5,2.59807621135332,2,4.5,0.075,4,100
13.5,2.59807621135332,2,5.5,0.075,4,100
16.5,2.59807621135332,2,6.5,0.075,4,100
19.5,2.59807621135332,2,7.5,0.075,4,100
22.5,2.59807621135332,2,8.5,0.075,4,100
25.5,2.59807621135332,2,9.5,0.075,4,100
28.5,2.59807621135332,2,10.5,0.075,4,100
0,5.19615242270663,3,1,0.075,4,100
3,5.19615242270663,3,2,0.075,4,100
6,5.19615242270663,3,3,0.075,4,100
9,5.19615242270663,3,4,0.075,4,100
12,5.19615242270663,3,5,0.075,4,100
15,5.19615242270663,3,6,0.075,4,100
18,5.19615242270663,3,7,0.075,4,100
21,5.19615242270663,3,8,0.075,4,100
24,5.19615242270663,3,9,0.075,4,100
27,5.19615242270663,3,10,0.075,4,100
1.5,7.79422863405995,4,1.5,0.075,4,100
4.5,7.79422863405995,4,2.5,0.075,4,100
7.5,7.79422863405995,4,3.5,0.075,4,100
10.5,7.79422863405995,4,4.5,0.075,4,100
13.5,7.79422863405995,4,5.5,0.075,4,100
16.5,7.79422863405995,4,6.5,0.075,4,100
19.5,7.79422863405995,4,7.5,0.075,4,100
22.5,7.79422863405995,4,8.5,0.075,4,100
25.5,7.79422863405995,4,9.5,0.075,4,100
28.5,7.79422863405995,4,10.5,0.075,4,100
0,10.3923048454133,5,1,0.075,4,100
3,10.3923048454133,5,2,0.075,4,100
6,10.3923048454133,5,3,0.075,4,100
9,10.3923048454133,5,4,0.075,4,100
12,10.3923048454133,5,5,0.075,4,100
15,10.3923048454133,5,6,0.075,4,100
18,10.3923048454133,5,7,0.075,4,100
21,10.3923048454133,5,8,0.075,4,100
24,10.3923048454133,5,9,0.075,4,100
27,10.3923048454133,5,10,0.075,4,100
1.5,12.9903810567666,6,1.5,0.075,4,100
4.5,12.9903810567666,6,2.5,0.075,4,100
7.5,12.9903810567666,6,3.5,0.075,4,100
10.5,12.9903810567666,6,4.5,0.075,4,100
13.5,12.9903810567666,6,5.5,0.075,4,100
16.5,12.9903810567666,6,6.5,0.075,4,100
19.5,12.9903810567666,6,7.5,0.075,4,100
22.5,12.9903810567666,6,8.5,0.075,4,100
25.5,12.9903810567666,6,9.5,0.075,4,100
28.5,12.9903810567666,6,10.5,0.075,4,100
0,15.5884572681199,7,1,0.075,4,100
3,15.5884572681199,7,2,0.075,4,100
6,15.5884572681199,7,3,0.075,4,100
9,15.5884572681199,7,4,0.075,4,100
12,15.5884572681199,7,5,0.075,4,100
15,15.5884572681199,7,6,0.075,4,100
18,15.5884572681199,7,7,0.075,4,100
21,15.5884572681199,7,8,0.075,4,100
24,15.5884572681199,7,9,0.075,4,100
27,15.5884572681199,7,10,0.075,4,100
1.5,18.1865334794732,8,1.5,0.075,4,100
4.5,18.1865334794732,8,2.5,0.075,4,100
7.5,18.1865334794732,8,3.5,0.075,4,100
10.5,18.1865334794732,8,4.5,0.075,4,100
13.5,18.1865334794732,8,5.5,0.075,4,100
16.5,18.1865334794732,8,6.5,0.075,4,100
19.5,18.1865334794732,8,7.5,0.075,4,100
22.5,18.1865334794732,8,8.5,0.075,4,100
25.5,18.1865334794732,8,9.5,0.075,4,100
28.5,18.1865334794732,8,10.5,0.075,4,100
0,20.7846096908265,9,1,0.075,4,100
3,20.7846096908265,9,2,0.075,4,100
6,20.7846096908265,9,3,0.075,4,100
9,20.7846096908265,9,4,0.075,4,100
12,20.7846096908265,9,5,0.075,4,100
15,20.7846096908265,9,6,0.075,4,100
18,20.7846096908265,9,7,0.075,4,100
21,20.7846096908265,9,8,0.075,4,100
24,20.7846096908265,9,9,0.075,4,100
27,20.7846096908265,9,10,0.075,4,100
