period,past,ssp126,ssp245,ssp334,ssp345,ssp360,ssp370,ssp585
2010s,6.406099929,4.4075295,8.870945,9.0142,9.01755,9.02165,4.510825,0
2020s,19.07711236,20.7685065,15.197955,51.49505,19.49955,17.71915,8.859575,0
2030s,,52.242572,10.110085,107.87515,32.04475,19.9043,9.95215,0
2040s,,85.865345,9.94531,156.2896,52.6196,24.26945,12.134725,0
2050s,,104.971485,16.199865,216.2194,92.76525,28.588,14.294,0
2060s,,129.08518,26.38787,328.86275,140.55095,34.82,17.41,0
2070s,,195.38937,42.983055,518.21065,186.5219,49.26955,24.634775,0
2080s,,214.27253,70.014865,755.1244,255.25615,63.11055,31.555275,0
2090s,,162.85134,114.046835,1025.52245,372.26555,75.72345,37.861725,0
2100s,,139.74147,141.32957,1167.6774,446.9148,82.7129,41.35645,0
