020 5 23.4 4.98 1.1 12 22.3 4.33 1.1 11 21.2 3.76 1.0 10 20.2 3.25 1.0 9 19.2 2.80 0.9 8 18.2 2.45 0.9 7
025 27.5 4.80 1.3 13 26.4 4.22 1.3 12 25.3 3.70 1.2 11 24.2 3.28 1.2 10 23.0 2.86 1.1 10 21.9 2.51 1.0 9
030 29.8 4.65 1.4 15 28.5 4.06 1.4 14 27.2 3.53 1.3 13 25.8 3.05 1.2 12 24.3 2.61 1.2 11 22.7 2.26 1.1 9
035 35.5 4.83 1.7 17 34.1 4.23 1.6 16 32.6 3.69 1.6 14 31.1 3.19 1.5 13 29.5 2.75 1.4 12 27.8 2.40 1.3 11
040 40.3 4.91 1.9 19 38.8 4.30 1.9 17 37.3 3.75 1.8 16 35.7 3.25 1.7 15 33.2 2.74 1.6 13 30.5 2.33 1.5 11
045 45.4 4.81 2.2 20 43.6 4.25 2.1 18 41.7 3.75 2.0 17 39.7 3.27 1.9 15 37.1 2.80 1.8 13 34.4 2.43 1.6 12
050 55.0 4.98 2.6 10 53.2 4.39 2.5 10 51.2 3.85 2.4 9 48.9 3.41 2.3 8 46.3 2.95 2.2 8 43.7 2.57 2.1 7
060 62.9 4.89 3.0 12 60.4 4.26 2.9 11 57.8 3.70 2.8 10 55.2 3.20 2.6 9 52.6 2.75 2.5 9 49.4 2.42 2.4 8
070 71.4 5.03 3.4 14 68.3 4.34 3.3 13 64.8 3.75 3.1 12 61.1 3.22 2.9 10 57.3 2.75 2.7 9 53.5 2.38 2.5 8
080 80.1 4.85 3.8 12 76.9 4.23 3.7 11 73.0 3.67 3.5 10 68.9 3.17 3.3 8 64.3 2.71 3.1 7 59.6 2.33 2.8 6
090 94.1 4.91 4.5 14 89.6 4.27 4.3 13 84.3 3.72 4.0 11 78.9 3.20 3.8 9 73.5 2.74 3.5 8 68.2 2.37 3.3 6
020 7 25.0 5.25 1.2 13 23.9 4.57 1.1 12 22.7 3.96 1.1 11 21.6 3.43 1.0 10 20.5 2.96 1.0 9 19.4 2.60 0.9 8
025 29.4 5.04 1.4 15 28.2 4.43 1.4 14 26.9 3.88 1.3 13 25.7 3.43 1.2 12 24.4 3.00 1.2 10 23.1 2.64 1.1 9
030 32.6 4.98 1.6 18 31.2 4.36 1.5 16 29.7 3.79 1.4 15 28.2 3.28 1.3 14 26.6 2.82 1.3 12 25.1 2.47 1.2 11
035 37.7 5.06 1.8 19 36.2 4.44 1.7 17 34.7 3.87 1.7 16 33.0 3.36 1.6 15 31.3 2.90 1.5 13 29.6 2.54 1.4 12
040 42.8 5.13 2.0 21 41.2 4.50 2.0 19 39.5 3.93 1.9 18 37.8 3.41 1.8 16 35.6 2.91 1.7 15 32.8 2.49 1.6 13
045 48.9 5.05 2.3 22 46.8 4.47 2.2 20 44.7 3.94 2.1 19 42.5 3.45 2.0 17 40.2 2.98 1.9 15 37.3 2.60 1.8 13
050 58.7 5.23 2.8 12 56.6 4.60 2.7 11 54.4 4.05 2.6 10 52.1 3.58 2.5 9 49.3 3.11 2.4 8 46.4 2.72 2.2 7
060 66.8 5.12 3.2 13 64.1 4.47 3.1 12 61.4 3.90 2.9 11 58.7 3.38 2.8 10 55.9 2.93 2.7 9 53.1 2.58 2.5 9
070 75.8 5.29 3.6 15 72.8 4.57 3.5 14 69.2 3.96 3.3 13 65.4 3.42 3.1 12 61.4 2.94 2.9 10 57.5 2.57 2.7 9
080 84.8 5.07 4.1 14 81.9 4.42 3.9 13 77.8 3.86 3.7 11 73.6 3.35 3.5 10 68.9 2.88 3.3 8 64.1 2.50 3.1 7
090 99.7 5.14 4.8 16 95.5 4.48 4.6 15 90.1 3.91 4.3 13 84.5 3.39 4.0 11 78.9 2.91 3.8 9 73.5 2.55 3.5 8
020 10 27.6 5.66 1.3 15 26.3 4.94 1.3 14 25.0 4.30 1.2 13 23.7 3.72 1.1 11 22.4 3.21 1.1 10 21.2 2.83 1.0 9
025 32.4 5.36 1.6 17 31.1 4.76 1.5 16 29.6 4.17 1.4 15 28.1 3.67 1.3 13 26.6 3.22 1.3 12 25.1 2.85 1.2 11
030 36.0 5.36 1.7 21 34.5 4.70 1.7 19 32.9 4.11 1.6 18 31.2 3.57 1.5 16 29.5 3.08 1.4 15 27.8 2.72 1.3 13
035 41.2 5.43 2.0 21 39.6 4.76 1.9 20 37.9 4.16 1.8 18 36.1 3.62 1.7 17 34.2 3.12 1.6 15 32.3 2.76 1.5 14
040 46.8 5.48 2.2 24 45.0 4.81 2.2 22 43.1 4.21 2.1 21 41.1 3.65 2.0 19 38.9 3.13 1.9 17 36.4 2.73 1.7 15
045 54.2 5.43 2.6 26 51.9 4.80 2.5 24 49.4 4.24 2.4 22 46.9 3.72 2.3 20 44.5 3.24 2.1 18 42.0 2.87 2.0 16
050 64.9 5.59 3.1 14 62.0 4.94 3.0 13 59.5 4.35 2.8 12 56.9 3.84 2.7 11 54.0 3.37 2.6 10 50.8 2.96 2.4 9
060 73.3 5.45 3.5 15 70.1 4.80 3.4 14 67.2 4.21 3.2 13 64.3 3.69 3.1 12 61.3 3.21 2.9 11 58.5 2.86 2.8 10
070 82.8 5.69 4.0 18 79.6 4.95 3.8 16 76.1 4.30 3.6 15 72.2 3.74 3.5 14 68.1 3.24 3.3 12 64.0 2.87 3.1 11
080 92.2 5.41 4.4 17 89.3 4.74 4.3 16 85.5 4.15 4.1 14 81.1 3.63 3.9 12 76.3 3.15 3.7 11 71.2 2.77 3.4 9
090 108.7 5.50 5.2 20 104.4 4.81 5.0 18 99.3 4.22 4.8 16 93.4 3.68 4.5 14 87.5 3.20 4.2 12 81.8 2.83 3.9 10
020 15 32.2 6.38 1.6 20 30.7 5.57 1.5 18 29.1 4.87 1.4 16 27.6 4.23 1.3 15 25.9 3.65 1.2 13 24.4 3.15 1.2 12
025 38.0 5.86 1.8 23 36.2 5.31 1.7 21 34.4 4.68 1.7 19 32.6 4.09 1.6 17 30.6 3.61 1.5 15 28.7 3.12 1.4 13
030 41.9 5.97 2.0 27 39.9 5.25 1.9 25 38.1 4.61 1.8 23 36.1 4.02 1.7 21 34.1 3.49 1.6 19 32.1 3.00 1.5 17
035 47.8 6.07 2.3 27 45.7 5.33 2.2 25 43.7 4.67 2.1 23 41.6 4.07 2.0 21 39.4 3.53 1.9 19 37.1 3.04 1.8 17
040 54.2 6.07 2.6 30 51.8 5.34 2.5 28 49.6 4.68 2.4 26 47.2 4.08 2.3 24 44.7 3.52 2.1 21 41.9 3.00 2.0 19
045 62.9 6.00 3.0 34 59.9 5.31 2.9 31 57.1 4.70 2.7 28 54.1 4.14 2.6 25 51.2 3.61 2.5 23 48.4 3.14 2.3 21
050 76.1 6.12 3.7 18 72.5 5.55 3.5 16 68.7 4.87 3.3 15 65.6 4.28 3.1 14 62.3 3.81 3.0 12 58.8 3.30 2.8 11
060 85.0 6.02 4.1 20 81.4 5.38 3.9 18 77.8 4.79 3.7 17 74.5 4.24 3.6 15 71.2 3.74 3.4 14 67.9 3.30 3.3 13
070 96.2 6.37 4.6 23 92.2 5.62 4.4 21 88.4 4.94 4.2 20 84.7 4.32 4.1 18 80.3 3.80 3.9 16 75.9 3.33 3.6 15
080 106.5 5.96 5.1 25 102.4 5.30 4.9 22 98.8 4.67 4.7 20 94.8 4.11 4.6 18 89.9 3.62 4.3 16 84.3 3.16 4.0 13
090 126.3 6.11 6.1 29 120.4 5.42 5.8 25 115.3 4.78 5.5 23 109.9 4.21 5.3 20 103.4 3.70 5.0 17 97.1 3.24 4.7 15
020 18 34.8 6.76 1.7 22 33.0 5.90 1.6 20 31.2 5.14 1.5 18 29.4 4.46 1.4 16 27.5 3.85 1.3 15 25.8 3.41 1.2 13
025 41.2 6.12 2.0 26 39.1 5.61 1.9 23 37.0 4.93 1.8 21 - - - - 32.6 3.79 1.6 17 30.4 3.38 1.5 15
030 45.6 6.34 2.2 31 43.3 5.57 2.1 28 41.0 4.88 2.0 26 38.7 4.25 1.9 23 36.5 3.69 1.8 21 34.3 3.30 1.6 18
035 52.0 6.46 2.5 32 49.5 5.66 2.4 29 47.0 4.95 2.3 26 44.6 4.31 2.1 24 42.1 3.74 2.0 21 39.6 3.34 1.9 19
040 59.0 6.43 2.8 35 56.3 5.66 2.7 32 53.5 4.96 2.6 29 50.7 4.31 2.4 27 47.8 3.72 2.3 24 44.7 3.29 2.1 21
045 68.5 6.36 3.3 39 65.2 5.62 3.1 35 61.8 4.97 3.0 32 58.3 4.38 2.8 29 54.8 3.81 2.6 26 51.7 3.44 2.5 23
050 82.8 6.41 4.0 21 78.5 5.88 3.8 19 74.1 5.16 3.6 17 70.0 4.52 3.4 15 66.2 4.00 3.2 14 62.4 3.59 3.0 12
060 92.2 6.36 4.4 23 88.2 5.70 4.2 21 84.0 5.09 4.0 19 80.0 4.52 3.8 17 76.3 4.01 3.7 16 - - - -
070 104.9 6.80 5.0 26 100.5 6.02 4.8 24 95.9 5.32 4.6 22 91.5 4.67 4.4 21 87.1 4.09 4.2 19 82.4 3.73 3.9 17
080 116.0 6.29 5.6 30 111.5 5.64 5.4 27 106.8 5.01 5.1 24 102.5 4.41 4.9 22 97.6 3.88 4.7 19 91.7 3.52 4.4 16
090 137.8 6.49 6.6 35 131.6 5.79 6.3 31 125.2 5.15 6.0 28 119.1 4.54 5.7 24 112.6 3.98 5.4 21 105.8 3.62 5.1 18
