technology,year,cost,source,ref power,note,,
GSHP,2023,1108,Tab 12,110 kW_th,removing the sonden,,
GSHP,2030,1053,Tab 12,110 kW_th,removing the sonden,,
GSHP,2040,991,Tab 12,110 kW_th,removing the sonden,,
BTES,2023,1273,Tab 12,110 kW_th,,,
BTES,2030,1273,Tab 12,110 kW_th,,,
BTES,2040,1273,Tab 12,110 kW_th,,,
ASHP,2023,1163,Tab 26,1.5 MW_th,,,
ASHP,2030,1105,Tab 26,1.5 MW_th,,,
ASHP,2040,1047,Tab 26,1.5 MW_th,,,
NG_boiler,2023,131,Tab 33,500 kW_th,,,
NG_boiler,2030,131,Tab 33,500 kW_th,,,
NG_boiler,2040,131,Tab 33,500 kW_th,,,
E_boiler,2020,160,Danish,1MW_th,,,
E_boiler,2030,149,Danish,1MW_th,,,
E_boiler,2050,138,Danish,1MW_th,,,
HybHP,2020,1931,Tabelle 14,,,,
HybHP,2030,1778,Tabelle 14,,,,
HybHP,2050,1626.363636,Tabelle 14,,,,
