"year","gcm","ssp","avg"
"2015","CMCC-CM2-SR5","ssp126","10.27754389299093"
"2015","CMCC-CM2-SR5","ssp245","9.451219883585932"
"2015","CMCC-CM2-SR5","ssp370","10.63368418171617"
"2015","CMCC-CM2-SR5","ssp585","9.57916512310608"
"2015","EC-Earth3-Veg","ssp126","12.403772749340526"
"2015","EC-Earth3-Veg","ssp245","11.383953703621394"
"2015","EC-Earth3-Veg","ssp370","11.588939831093418"
"2015","EC-Earth3-Veg","ssp585","12.516290839703926"
"2015","IPSL-CM6A-LR","ssp126","11.916842071537527"
"2015","IPSL-CM6A-LR","ssp245","11.29196758600224"
"2015","IPSL-CM6A-LR","ssp370","11.450410543715998"
"2015","IPSL-CM6A-LR","ssp585","12.20076384420478"
"2015","MIROC6","ssp126","11.987147731151108"
"2015","MIROC6","ssp245","11.37904253942726"
"2015","MIROC6","ssp370","11.122770465430309"
"2015","MIROC6","ssp585","11.718110862693358"
"2015","MPI-ESM1-2-HR","ssp126","11.372752382252902"
"2015","MPI-ESM1-2-HR","ssp245","10.392083462535618"
"2015","MPI-ESM1-2-HR","ssp370","11.682199331482455"
"2015","MPI-ESM1-2-HR","ssp585","11.28920073592495"
"2015","NorESM2-MM","ssp126","12.112270202675248"
"2015","NorESM2-MM","ssp245","10.614072677419731"
"2015","NorESM2-MM","ssp370","10.861043385900668"
"2015","NorESM2-MM","ssp585","11.24377060781821"
"2016","CMCC-CM2-SR5","ssp126","11.115071970909481"
"2016","CMCC-CM2-SR5","ssp245","11.809134414576501"
"2016","CMCC-CM2-SR5","ssp370","10.322934968850225"
"2016","CMCC-CM2-SR5","ssp585","10.95782053072732"
"2016","EC-Earth3-Veg","ssp126","12.288018669791008"
"2016","EC-Earth3-Veg","ssp245","10.927341224561342"
"2016","EC-Earth3-Veg","ssp370","10.882579834850825"
"2016","EC-Earth3-Veg","ssp585","11.852352328941066"
"2016","IPSL-CM6A-LR","ssp126","9.820534364350134e+36"
"2016","IPSL-CM6A-LR","ssp245","11.082445369754009"
"2016","IPSL-CM6A-LR","ssp370","11.578237188879843"
"2016","IPSL-CM6A-LR","ssp585","11.657088366545937"
"2016","MIROC6","ssp126","11.586608395218404"
"2016","MIROC6","ssp245","10.922207544760933"
"2016","MIROC6","ssp370","11.779624998771803"
"2016","MIROC6","ssp585","12.474191457056694"
"2016","MPI-ESM1-2-HR","ssp126","12.158548627168539"
"2016","MPI-ESM1-2-HR","ssp245","10.297513992472547"
"2016","MPI-ESM1-2-HR","ssp370","11.086543068227838"
"2016","MPI-ESM1-2-HR","ssp585","10.330672857534864"
"2016","NorESM2-MM","ssp126","10.766771388782844"
"2016","NorESM2-MM","ssp245","12.466157631095117"
"2016","NorESM2-MM","ssp370","10.4857038081801"
"2016","NorESM2-MM","ssp585","11.6833778971336"
"2017","CMCC-CM2-SR5","ssp126","11.105479372114146"
"2017","CMCC-CM2-SR5","ssp245","9.94377663940272"
"2017","CMCC-CM2-SR5","ssp370","10.44569787585092"
"2017","CMCC-CM2-SR5","ssp585","10.71970709397029"
"2017","EC-Earth3-Veg","ssp126","12.365058220236255"
"2017","EC-Earth3-Veg","ssp245","11.057075256486817"
