,ssp,period,quantile,count,variable
770,ssp119,2021-2031,0,82196,CDH
790,ssp119,2021-2031,3.45865885655883E-05,136,CDH
771,ssp119,2021-2031,0.286584472656273,317,CDH
781,ssp119,2021-2031,0.582147216796898,281,CDH
779,ssp119,2021-2031,0.883386230468773,293,CDH
774,ssp119,2021-2031,1.19264119466148,301,CDH
780,ssp119,2021-2031,1.51648864746096,284,CDH
782,ssp119,2021-2031,1.84905395507815,280,CDH
776,ssp119,2021-2031,2.20259246826174,297,CDH
785,ssp119,2021-2031,2.56795654296877,260,CDH
777,ssp119,2021-2031,2.96079915364586,296,CDH
787,ssp119,2021-2031,3.36797485351565,252,CDH
784,ssp119,2021-2031,3.79624837239586,267,CDH
783,ssp119,2021-2031,4.26107177734377,272,CDH
786,ssp119,2021-2031,4.77202504475914,254,CDH
773,ssp119,2021-2031,5.33524475097659,302,CDH
775,ssp119,2021-2031,5.96098480224612,299,CDH
778,ssp119,2021-2031,6.67320149739586,294,CDH
772,ssp119,2021-2031,7.51457366943362,303,CDH
788,ssp119,2021-2031,8.55979309082034,248,CDH
789,ssp119,2021-2031,10.1126876831055,216,CDH
791,ssp119,2021-2031,20.3302551269531,0,CDH
0,ssp119,2021-2031,0,41312,HDH
20,ssp119,2021-2031,2.64485676861881E-05,1096,HDH
12,ssp119,2021-2031,0.621908569335915,2240,HDH
17,ssp119,2021-2031,1.23366902669269,2140,HDH
16,ssp119,2021-2031,1.83515014648435,2172,HDH
14,ssp119,2021-2031,2.43077189127602,2190,HDH
18,ssp119,2021-2031,3.0313781738281,2108,HDH
13,ssp119,2021-2031,3.63480224609373,2231,HDH
11,ssp119,2021-2031,4.2382873535156,2272,HDH
7,ssp119,2021-2031,4.8474182128906,2342,HDH
19,ssp119,2021-2031,5.46485493977862,2053,HDH
15,ssp119,2021-2031,6.0920471191406,2173,HDH
10,ssp119,2021-2031,6.7457336425781,2296,HDH
8,ssp119,2021-2031,7.42415974934894,2329,HDH
9,ssp119,2021-2031,8.12185770670571,2306,HDH
5,ssp119,2021-2031,8.81697184244789,2366,HDH
6,ssp119,2021-2031,9.54146423339842,2346,HDH
4,ssp119,2021-2031,10.3686075846354,2512,HDH
2,ssp119,2021-2031,11.3660491943359,2656,HDH
3,ssp119,2021-2031,12.7873392740885,2557,HDH
1,ssp119,2021-2031,14.9491383870442,3906,HDH
21,ssp119,2021-2031,31.8296569824219,45,HDH
792,ssp119,2031-2041,0,81599,CDH
812,ssp119,2031-2041,3.45865885655883E-05,181,CDH
797,ssp119,2031-2041,0.286584472656273,337,CDH
795,ssp119,2031-2041,0.582147216796898,345,CDH
800,ssp119,2031-2041,0.883386230468773,318,CDH
799,ssp119,2031-2041,1.19264119466148,320,CDH
805,ssp119,2031-2041,1.51648864746096,292,CDH
794,ssp119,2031-2041,1.84905395507815,348,CDH
806,ssp119,2031-2041,2.20259246826174,287,CDH
801,ssp119,2031-2041,2.56795654296877,316,CDH
804,ssp119,2031-2041,2.96079915364586,299,CDH
798,ssp119,2031-2041,3.36797485351565,327,CDH
803,ssp119,2031-2041,3.79624837239586,309,CDH
796,ssp119,2031-2041,4.26107177734377,344,CDH
802,ssp119,2031-2041,4.77202504475914,312,CDH
807,ssp119,2031-2041,5.33524475097659,273,CDH
808,ssp119,2031-2041,5.96098480224612,272,CDH
810,ssp119,2031-2041,6.67320149739586,256,CDH
809,ssp119,2031-2041,7.51457366943362,265,CDH
811,ssp119,2031-2041,8.55979309082034,242,CDH
793,ssp119,2031-2041,10.1126876831055,426,CDH
813,ssp119,2031-2041,20.3302551269531,4,CDH
22,ssp119,2031-2041,0,42546,HDH
42,ssp119,2031-2041,2.64485676861881E-05,1074,HDH
40,ssp119,2031-2041,0.621908569335915,2069,HDH
41,ssp119,2031-2041,1.23366902669269,2023,HDH
37,ssp119,2031-2041,1.83515014648435,2143,HDH
38,ssp119,2031-2041,2.43077189127602,2117,HDH
36,ssp119,2031-2041,3.0313781738281,2154,HDH
39,ssp119,2031-2041,3.63480224609373,2117,HDH
33,ssp119,2031-2041,4.2382873535156,2285,HDH
31,ssp119,2031-2041,4.8474182128906,2318,HDH
34,ssp119,2031-2041,5.46485493977862,2281,HDH
35,ssp119,2031-2041,6.0920471191406,2257,HDH
28,ssp119,2031-2041,6.7457336425781,2370,HDH
27,ssp119,2031-2041,7.42415974934894,2384,HDH
32,ssp119,2031-2041,8.12185770670571,2291,HDH
25,ssp119,2031-2041,8.81697184244789,2432,HDH
26,ssp119,2031-2041,9.54146423339842,2393,HDH
24,ssp119,2031-2041,10.3686075846354,2518,HDH
29,ssp119,2031-2041,11.3660491943359,2367,HDH
30,ssp119,2031-2041,12.7873392740885,2367,HDH
23,ssp119,2031-2041,14.9491383870442,3147,HDH
43,ssp119,2031-2041,31.8296569824219,19,HDH
814,ssp119,2041-2051,0,82115,CDH
834,ssp119,2041-2051,3.45865885655883E-05,131,CDH
830,ssp119,2041-2051,0.286584472656273,267,CDH
828,ssp119,2041-2051,0.582147216796898,272,CDH
831,ssp119,2041-2051,0.883386230468773,257,CDH
821,ssp119,2041-2051,1.19264119466148,299,CDH
826,ssp119,2041-2051,1.51648864746096,282,CDH
825,ssp119,2041-2051,1.84905395507815,283,CDH
824,ssp119,2041-2051,2.20259246826174,286,CDH
819,ssp119,2041-2051,2.56795654296877,308,CDH
816,ssp119,2041-2051,2.96079915364586,317,CDH
820,ssp119,2041-2051,3.36797485351565,307,CDH
817,ssp119,2041-2051,3.79624837239586,315,CDH
823,ssp119,2041-2051,4.26107177734377,295,CDH
818,ssp119,2041-2051,4.77202504475914,313,CDH
815,ssp119,2041-2051,5.33524475097659,326,CDH
822,ssp119,2041-2051,5.96098480224612,296,CDH
829,ssp119,2041-2051,6.67320149739586,269,CDH
827,ssp119,2041-2051,7.51457366943362,273,CDH
832,ssp119,2041-2051,8.55979309082034,248,CDH
833,ssp119,2041-2051,10.1126876831055,189,CDH
835,ssp119,2041-2051,20.3302551269531,0,CDH
44,ssp119,2041-2051,0,40681,HDH
64,ssp119,2041-2051,2.64485676861881E-05,1046,HDH
62,ssp119,2041-2051,0.621908569335915,2156,HDH
59,ssp119,2041-2051,1.23366902669269,2228,HDH
57,ssp119,2041-2051,1.83515014648435,2267,HDH
63,ssp119,2041-2051,2.43077189127602,2076,HDH
61,ssp119,2041-2051,3.0313781738281,2207,HDH
60,ssp119,2041-2051,3.63480224609373,2213,HDH
56,ssp119,2041-2051,4.2382873535156,2281,HDH
55,ssp119,2041-2051,4.8474182128906,2338,HDH
53,ssp119,2041-2051,5.46485493977862,2403,HDH
52,ssp119,2041-2051,6.0920471191406,2407,HDH
58,ssp119,2041-2051,6.7457336425781,2229,HDH
54,ssp119,2041-2051,7.42415974934894,2357,HDH
51,ssp119,2041-2051,8.12185770670571,2433,HDH
47,ssp119,2041-2051,8.81697184244789,2575,HDH
48,ssp119,2041-2051,9.54146423339842,2476,HDH
50,ssp119,2041-2051,10.3686075846354,2453,HDH
46,ssp119,2041-2051,11.3660491943359,2843,HDH
49,ssp119,2041-2051,12.7873392740885,2457,HDH
45,ssp119,2041-2051,14.9491383870442,3502,HDH
65,ssp119,2041-2051,31.8296569824219,20,HDH
836,ssp119,2051-2061,0,82074,CDH
856,ssp119,2051-2061,3.45865885655883E-05,153,CDH
840,ssp119,2051-2061,0.286584472656273,316,CDH
837,ssp119,2051-2061,0.582147216796898,331,CDH
839,ssp119,2051-2061,0.883386230468773,318,CDH
838,ssp119,2051-2061,1.19264119466148,329,CDH
842,ssp119,2051-2061,1.51648864746096,303,CDH
846,ssp119,2051-2061,1.84905395507815,283,CDH
841,ssp119,2051-2061,2.20259246826174,304,CDH
851,ssp119,2051-2061,2.56795654296877,266,CDH
849,ssp119,2051-2061,2.96079915364586,272,CDH
854,ssp119,2051-2061,3.36797485351565,258,CDH
843,ssp119,2051-2061,3.79624837239586,303,CDH
844,ssp119,2051-2061,4.26107177734377,301,CDH
847,ssp119,2051-2061,4.77202504475914,283,CDH
848,ssp119,2051-2061,5.33524475097659,273,CDH
850,ssp119,2051-2061,5.96098480224612,272,CDH
853,ssp119,2051-2061,6.67320149739586,260,CDH
852,ssp119,2051-2061,7.51457366943362,261,CDH
855,ssp119,2051-2061,8.55979309082034,221,CDH
845,ssp119,2051-2061,10.1126876831055,291,CDH
857,ssp119,2051-2061,20.3302551269531,0,CDH
66,ssp119,2051-2061,0,41668,HDH
86,ssp119,2051-2061,2.64485676861881E-05,1001,HDH
81,ssp119,2051-2061,0.621908569335915,2096,HDH
79,ssp119,2051-2061,1.23366902669269,2174,HDH
76,ssp119,2051-2061,1.83515014648435,2215,HDH
82,ssp119,2051-2061,2.43077189127602,2077,HDH
85,ssp119,2051-2061,3.0313781738281,2044,HDH
83,ssp119,2051-2061,3.63480224609373,2073,HDH
84,ssp119,2051-2061,4.2382873535156,2059,HDH
80,ssp119,2051-2061,4.8474182128906,2105,HDH
78,ssp119,2051-2061,5.46485493977862,2181,HDH
77,ssp119,2051-2061,6.0920471191406,2192,HDH
