quantile,variable,count,technology,heat_production,primary_energy,CO2_emissions,OpEx,Q,period,ssp
1,CDH,617.7500000000001,HeatPump,0.04422,0.0031681891456206345,0.00047522837184309517,0.9595227287325009,0.04422,2020s,past
2,CDH,517.875,HeatPump,0.08844,0.007454753446926366,0.001118213017038955,2.2577583094463765,0.08844,2020s,past
3,CDH,421.95833333333337,HeatPump,0.13266,0.012888214220656995,0.0019332321330985491,3.9033447528181817,0.13266,2020s,past
4,CDH,333.7916666666667,HeatPump,0.17688,0.01949807091677384,0.002924710637516076,5.905216308484533,0.17688,2020s,past
5,CDH,249.0,HeatPump,0.22110000000000002,0.027314843412193465,0.00409722651182902,8.272616274188572,0.22110000000000002,2020s,past
6,CDH,184.66666666666666,HeatPump,0.26532,0.036370116518163124,0.0054555174777244685,11.015110475353431,0.26532,2020s,past
7,CDH,133.08333333333331,HeatPump,0.30954000000000004,0.04669658683763908,0.007004488025645862,14.142601456381245,0.30954000000000004,2020s,past
8,CDH,93.25,HeatPump,0.35376,0.05832811211871395,0.008749216817807092,17.66534342790949,0.35376,2020s,past
9,CDH,59.041666666666664,HeatPump,0.39798,0.07129976326060529,0.010694964489090793,21.593958017426182,0.39798,2020s,past
10,CDH,38.0,HeatPump,0.44220000000000004,0.08564787914003488,0.012847181871005232,25.939450874072985,0.44220000000000004,2020s,past
11,CDH,23.458333333333332,HeatPump,0.48642,0.10141012443807416,0.015211518665711124,30.713229182174256,0.48642,2020s,past
12,CDH,13.958333333333332,HeatPump,0.53064,0.11862555066079297,0.017793832599118944,35.92712014204631,0.53064,2020s,past
13,CDH,7.241666666666667,HeatPump,0.57486,0.13733466056141752,0.020600199084212626,41.59339048099315,0.57486,2020s,past
14,CDH,6.0,HeatPump,0.6190800000000001,0.1575794761872865,0.023636921428092973,47.72476706211417,0.6190800000000001,2020s,past
15,CDH,4.583333333333333,HeatPump,0.6633,0.17940361079180475,0.02691054161877071,54.33445866367117,0.6633,2020s,past
16,CDH,3.25,HeatPump,0.70752,0.20285234486995704,0.030427851730493553,61.436179007323155,0.70752,2020s,past
17,CDH,5.5,HeatPump,0.7517400000000001,0.22797270659590604,0.034195905989385905,69.04417111958332,0.7517400000000001,2020s,past
18,CDH,3.0,HeatPump,0.79596,0.2548135569629063,0.03822203354443594,77.17323311742679,0.79596,2020s,past
1,CDH,617.7500000000001,Geothermal,0.0,0.0,0.0,0.0,0.04422,2020s,past
2,CDH,517.875,Geothermal,0.0,0.0,0.0,0.0,0.08844,2020s,past
3,CDH,421.95833333333337,Geothermal,0.0,0.0,0.0,0.0,0.13266,2020s,past
4,CDH,333.7916666666667,Geothermal,0.0,0.0,0.0,0.0,0.17688,2020s,past
5,CDH,249.0,Geothermal,0.0,0.0,0.0,0.0,0.22110000000000002,2020s,past
6,CDH,184.66666666666666,Geothermal,0.0,0.0,0.0,0.0,0.26532,2020s,past
7,CDH,133.08333333333331,Geothermal,0.0,0.0,0.0,0.0,0.30954000000000004,2020s,past
8,CDH,93.25,Geothermal,0.0,0.0,0.0,0.0,0.35376,2020s,past
9,CDH,59.041666666666664,Geothermal,0.0,0.0,0.0,0.0,0.39798,2020s,past
10,CDH,38.0,Geothermal,0.0,0.0,0.0,0.0,0.44220000000000004,2020s,past
11,CDH,23.458333333333332,Geothermal,0.0,0.0,0.0,0.0,0.48642,2020s,past
12,CDH,13.958333333333332,Geothermal,0.0,0.0,0.0,0.0,0.53064,2020s,past
13,CDH,7.241666666666667,Geothermal,0.0,0.0,0.0,0.0,0.57486,2020s,past
14,CDH,6.0,Geothermal,0.0,0.0,0.0,0.0,0.6190800000000001,2020s,past
15,CDH,4.583333333333333,Geothermal,0.0,0.0,0.0,0.0,0.6633,2020s,past
16,CDH,3.25,Geothermal,0.0,0.0,0.0,0.0,0.70752,2020s,past
17,CDH,5.5,Geothermal,0.0,0.0,0.0,0.0,0.7517400000000001,2020s,past
18,CDH,3.0,Geothermal,0.0,0.0,0.0,0.0,0.79596,2020s,past
1,CDH,617.7500000000001,BTES,0.0,0.0,0.0,0.0,0.04422,2020s,past
2,CDH,517.875,BTES,0.0,0.0,0.0,0.0,0.08844,2020s,past
3,CDH,421.95833333333337,BTES,0.0,0.0,0.0,0.0,0.13266,2020s,past
4,CDH,333.7916666666667,BTES,0.0,0.0,0.0,0.0,0.17688,2020s,past
5,CDH,249.0,BTES,0.0,0.0,0.0,0.0,0.22110000000000002,2020s,past
