SSP,Decade,Technology,NewCapacity,CumulativeCapacity,InvestmentCost
past,2020s,GSHP,449.78769827626854,0.0,490757.97905040084
past,2020s,NG_boiler,1920.47030707183,0.0,251581.61035467638
past,2020s,ASHP,2050.909501064289,2000.0,2.347142869398015e6
past,2020s,E_boiler,0.0,0.0,0.0
past,2020s,BTES,800.0,0.0,1.018400000845538e6
ssp126,2030s,GSHP,0.0,449.78769827626854,0.0
ssp126,2030s,NG_boiler,0.0,1920.47030707183,0.0
ssp126,2030s,ASHP,0.0,2050.909501064289,0.0
ssp126,2030s,E_boiler,0.0,0.0,0.0
ssp126,2030s,BTES,0.0,800.0,0.0
ssp245,2030s,GSHP,0.0,449.78769827626854,0.0
ssp245,2030s,NG_boiler,132.72466043385953,1920.47030707183,17386.93051023808
ssp245,2030s,ASHP,0.0,2050.909501064289,0.0
ssp245,2030s,E_boiler,0.0,0.0,0.0
ssp245,2030s,BTES,0.0,800.0,0.0
ssp370,2030s,GSHP,0.0,449.78769827626854,0.0
ssp370,2030s,NG_boiler,77.22703062712276,1920.47030707183,10116.741008314255
ssp370,2030s,ASHP,0.0,2050.909501064289,0.0
ssp370,2030s,E_boiler,0.0,0.0,0.0
ssp370,2030s,BTES,0.0,800.0,0.0
ssp585,2030s,GSHP,0.0,449.78769827626854,0.0
ssp585,2030s,NG_boiler,0.0,1920.47030707183,0.0
ssp585,2030s,ASHP,0.0,2050.909501064289,0.0
ssp585,2030s,E_boiler,0.0,0.0,0.0
ssp585,2030s,BTES,0.0,800.0,0.0
ssp126,2040s,GSHP,449.78769827626854,449.78769827626854,434239.4479932565
ssp126,2040s,NG_boiler,1181.61752559718,1920.47030707183,154791.89565806385
ssp126,2040s,ASHP,2050.90950106429,2050.909501064289,2.102293098563928e6
ssp126,2040s,E_boiler,0.0,0.0,0.0
ssp126,2040s,BTES,0.0,800.0,0.0
ssp245,2040s,GSHP,449.78769827626854,449.78769827626854,434239.4479932565
ssp245,2040s,NG_boiler,1644.2909569512647,2053.1949675056894,215402.11508902957
ssp245,2040s,ASHP,2050.909501064289,2050.909501064289,2.102293098563927e6
ssp245,2040s,E_boiler,0.0,0.0,0.0
ssp245,2040s,BTES,0.0,800.0,0.0
ssp370,2040s,GSHP,449.78769827626854,449.78769827626854,434239.4479932565
ssp370,2040s,NG_boiler,1351.7299337813674,1997.6973376989527,177076.6211020951
ssp370,2040s,ASHP,2050.9095010642895,2050.909501064289,2.1022930985639277e6
ssp370,2040s,E_boiler,0.0,0.0,0.0
ssp370,2040s,BTES,0.0,800.0,0.0
ssp585,2040s,GSHP,449.78769827626854,449.78769827626854,434239.4479932565
ssp585,2040s,NG_boiler,1266.6540692725202,1920.47030707183,165931.682865488
ssp585,2040s,ASHP,2050.90950106429,2050.909501064289,2.102293098563928e6
ssp585,2040s,E_boiler,0.0,0.0,0.0
