node,value,variable,i1,i2,i3
19,0.0,H_heat_prod,GSHP,11,4
19,0.0,H_heat_prod,GSHP,11,8
19,0.0,H_heat_prod,GSHP,12,4
19,0.0,H_heat_prod,ASHP,11,20
19,171.85612581868918,H_heat_prod,GSHP,2,12
19,0.0,H_heat_prod,GSHP,13,6
19,0.0,H_heat_prod,ASHP,14,6
19,0.0,H_heat_prod,GSHP,15,9
19,0.0,H_heat_prod,E_boiler,10,11
19,321.65909394568735,H_heat_prod,NG_boiler,1,18
19,0.0,H_heat_prod,ASHP,9,23
19,0.0,H_heat_prod,ASHP,11,13
19,0.0,H_heat_prod,E_boiler,15,2
19,0.0,H_heat_prod,E_boiler,12,9
19,0.0,H_heat_prod,E_boiler,12,15
19,0.0,H_heat_prod,ASHP,4,0
19,0.0,H_heat_prod,ASHP,15,22
19,0.0,H_heat_prod,E_boiler,8,5
19,0.0,H_heat_prod,NG_boiler,9,23
19,0.0,H_heat_prod,ASHP,8,7
19,0.0,H_heat_prod,ASHP,8,2
19,0.0,H_heat_prod,ASHP,0,20
19,2131.198092908766,H_heat_prod,ASHP,3,6
19,0.0,H_heat_prod,E_boiler,14,11
19,0.0,H_heat_prod,GSHP,10,9
19,0.0,H_heat_prod,ASHP,3,3
19,0.0,H_heat_prod,NG_boiler,10,2
19,1151.0107346341279,H_heat_prod,ASHP,0,6
19,0.0,H_heat_prod,GSHP,13,10
19,0.0,H_heat_prod,ASHP,14,0
19,0.0,H_heat_prod,NG_boiler,15,5
19,0.0,H_heat_prod,E_boiler,11,3
19,0.0,H_heat_prod,ASHP,14,10
19,0.0,H_heat_prod,NG_boiler,6,12
19,0.0,H_heat_prod,ASHP,11,23
19,0.0,H_heat_prod,NG_boiler,8,0
19,0.0,H_heat_prod,ASHP,3,13
19,0.0,H_heat_prod,NG_boiler,8,15
19,0.0,H_heat_prod,ASHP,7,18
19,536.3325954035615,H_heat_prod,GSHP,4,6
19,0.0,H_heat_prod,GSHP,4,14
19,0.0,H_heat_prod,E_boiler,15,21
19,0.0,H_heat_prod,NG_boiler,4,9
19,0.0,H_heat_prod,ASHP,14,21
19,0.0,H_heat_prod,NG_boiler,13,5
19,0.0,H_heat_prod,ASHP,14,20
19,0.0,H_heat_prod,E_boiler,13,22
19,0.0,H_heat_prod,E_boiler,14,5
19,0.0,H_heat_prod,E_boiler,1,18
19,0.0,H_heat_prod,NG_boiler,5,8
19,23.36895755502337,H_heat_prod,NG_boiler,2,8
19,0.0,H_heat_prod,E_boiler,10,15
19,0.0,H_heat_prod,ASHP,12,19
19,0.0,H_heat_prod,ASHP,4,20
19,0.0,H_heat_prod,ASHP,1,6
19,0.0,H_heat_prod,GSHP,10,6
19,0.0,H_heat_prod,E_boiler,9,23
19,0.0,H_heat_prod,E_boiler,9,4
19,0.0,H_heat_prod,ASHP,2,19
19,0.0,H_heat_prod,E_boiler,6,0
19,479.54765623232583,H_heat_prod,GSHP,2,4
19,0.0,H_heat_prod,E_boiler,13,19
19,0.0,H_heat_prod,ASHP,1,8
19,0.0,H_heat_prod,ASHP,2,1
19,0.0,H_heat_prod,ASHP,14,5
19,0.0,H_heat_prod,ASHP,5,5
19,0.0,H_heat_prod,NG_boiler,7,16
19,0.0,H_heat_prod,ASHP,2,18
19,0.0,H_heat_prod,NG_boiler,2,17
19,0.0,H_heat_prod,NG_boiler,9,6
19,276.0234719076616,H_heat_prod,ASHP,0,13
19,0.0,H_heat_prod,NG_boiler,15,22
19,0.0,H_heat_prod,ASHP,7,19
19,0.0,H_heat_prod,NG_boiler,1,22
19,0.0,H_heat_prod,ASHP,10,4
19,0.0,H_heat_prod,ASHP,8,18
19,0.0,H_heat_prod,GSHP,7,19
19,0.0,H_heat_prod,ASHP,15,1
19,0.0,H_heat_prod,E_boiler,6,18
19,0.0,H_heat_prod,E_boiler,10,9
19,0.0,H_heat_prod,E_boiler,7,3
19,341.62079093233723,H_heat_prod,GSHP,0,2
19,0.0,H_heat_prod,NG_boiler,14,6
19,0.0,H_heat_prod,NG_boiler,10,0
19,0.0,H_heat_prod,E_boiler,12,23
19,0.0,H_heat_prod,NG_boiler,13,13
19,0.0,H_heat_prod,NG_boiler,10,23
19,0.0,H_heat_prod,ASHP,11,3
19,0.0,H_heat_prod,NG_boiler,14,9
19,0.0,H_heat_prod,NG_boiler,4,11
19,0.0,H_heat_prod,NG_boiler,15,16
19,0.0,H_heat_prod,E_boiler,15,6
19,0.0,H_heat_prod,GSHP,14,6
19,0.0,H_heat_prod,E_boiler,3,13
19,0.0,H_heat_prod,ASHP,2,8
19,0.0,H_heat_prod,GSHP,6,17
19,0.0,H_heat_prod,GSHP,12,8
19,341.6207909323372,H_heat_prod,GSHP,0,13
19,0.0,H_heat_prod,E_boiler,13,15
19,0.0,H_heat_prod,E_boiler,1,8
19,0.0,H_heat_prod,GSHP,13,13
19,0.0,H_heat_prod,ASHP,13,21
19,0.0,H_heat_prod,ASHP,3,4
19,0.0,H_heat_prod,NG_boiler,3,12
19,0.0,H_heat_prod,ASHP,15,20
19,0.0,H_heat_prod,GSHP,10,12
19,0.0,H_heat_prod,ASHP,12,2
19,0.0,H_heat_prod,ASHP,5,21
19,0.0,H_heat_prod,NG_boiler,13,6
19,0.0,H_heat_prod,NG_boiler,3,4
19,0.0,H_heat_prod,GSHP,4,16
19,0.0,H_heat_prod,GSHP,15,3
19,0.0,H_heat_prod,ASHP,13,6
19,0.0,H_heat_prod,E_boiler,4,19
19,0.0,H_heat_prod,NG_boiler,10,3
19,0.0,H_heat_prod,ASHP,3,1
19,0.0,H_heat_prod,NG_boiler,6,3
19,0.0,H_heat_prod,E_boiler,13,7
19,0.0,H_heat_prod,E_boiler,1,23
19,268.02587314042466,H_heat_prod,ASHP,0,12
19,0.0,H_heat_prod,NG_boiler,2,0
19,0.0,H_heat_prod,E_boiler,15,12
19,0.0,H_heat_prod,NG_boiler,2,10
19,0.0,H_heat_prod,GSHP,13,20
19,0.0,H_heat_prod,E_boiler,4,5
19,0.0,H_heat_prod,NG_boiler,9,13
19,0.0,H_heat_prod,GSHP,4,4
19,0.0,H_heat_prod,ASHP,7,13
19,448.66784350247946,H_heat_prod,GSHP,1,13
19,0.0,H_heat_prod,GSHP,2,20
19,0.0,H_heat_prod,GSHP,12,17
19,0.0,H_heat_prod,E_boiler,2,5
19,0.0,H_heat_prod,ASHP,9,5
19,0.0,H_heat_prod,GSHP,9,19
19,0.0,H_heat_prod,E_boiler,1,9
19,0.0,H_heat_prod,GSHP,9,10
19,0.0,H_heat_prod,GSHP,10,19
19,0.0,H_heat_prod,ASHP,1,19
19,0.0,H_heat_prod,GSHP,4,1
19,341.6207909323372,H_heat_prod,GSHP,0,19
19,707.1194570737644,H_heat_prod,ASHP,0,16
19,0.0,H_heat_prod,NG_boiler,6,20
19,486.46011487846044,H_heat_prod,GSHP,4,5
19,0.0,H_heat_prod,NG_boiler,6,5
19,0.0,H_heat_prod,E_boiler,8,17
19,0.0,H_heat_prod,GSHP,14,22
19,0.0,H_heat_prod,GSHP,14,4
19,0.0,H_heat_prod,NG_boiler,5,11
19,0.0,H_heat_prod,GSHP,6,5
19,0.0,H_heat_prod,GSHP,6,18
19,0.0,H_heat_prod,ASHP,7,5
19,156.73354665352235,H_heat_prod,NG_boiler,1,10
19,228.03411197642708,H_heat_prod,GSHP,3,18
19,0.0,H_heat_prod,E_boiler,0,21
19,341.62079093233723,H_heat_prod,GSHP,0,20
19,0.0,H_heat_prod,E_boiler,2,2
19,1217.729491650867,H_heat_prod,NG_boiler,0,14
19,214.59503646052326,H_heat_prod,GSHP,2,11
19,0.0,H_heat_prod,ASHP,14,23
19,0.0,H_heat_prod,GSHP,11,12
19,0.0,H_heat_prod,ASHP,13,13
19,0.0,H_heat_prod,GSHP,7,6
19,292.2732306992257,H_heat_prod,GSHP,2,10
19,0.0,H_heat_prod,E_boiler,8,0
19,0.0,H_heat_prod,E_boiler,4,0
19,0.0,H_heat_prod,NG_boiler,7,14
19,0.0,H_heat_prod,ASHP,7,4
19,0.0,H_heat_prod,ASHP,15,8
19,0.0,H_heat_prod,E_boiler,0,13
19,0.0,H_heat_prod,NG_boiler,3,0
19,0.0,H_heat_prod,E_boiler,2,14
19,0.0,H_heat_prod,NG_boiler,7,0
19,0.0,H_heat_prod,ASHP,11,6
19,0.0,H_heat_prod,ASHP,6,15
19,0.0,H_heat_prod,NG_boiler,10,4
19,0.0,H_heat_prod,ASHP,5,15
19,0.0,H_heat_prod,NG_boiler,11,18
19,0.0,H_heat_prod,NG_boiler,15,0
19,0.0,H_heat_prod,NG_boiler,15,1
19,0.0,H_heat_prod,GSHP,15,15
19,0.0,H_heat_prod,ASHP,4,14
19,0.0,H_heat_prod,E_boiler,9,17
19,0.0,H_heat_prod,ASHP,5,17
19,891.4489073317236,H_heat_prod,ASHP,0,18
19,0.0,H_heat_prod,NG_boiler,3,17
19,0.0,H_heat_prod,E_boiler,6,16
19,0.0,H_heat_prod,NG_boiler,12,23
19,0.0,H_heat_prod,ASHP,11,8
19,0.0,H_heat_prod,NG_boiler,4,7
19,0.0,H_heat_prod,E_boiler,9,9
19,0.0,H_heat_prod,NG_boiler,14,3
19,0.0,H_heat_prod,GSHP,12,3
19,0.0,H_heat_prod,ASHP,12,11
19,0.0,H_heat_prod,ASHP,11,16
19,0.0,H_heat_prod,GSHP,5,13
19,0.0,H_heat_prod,GSHP,7,20
19,0.0,H_heat_prod,NG_boiler,2,14
19,0.0,H_heat_prod,GSHP,14,12
19,0.0,H_heat_prod,ASHP,6,23
19,0.0,H_heat_prod,E_boiler,11,5
19,0.0,H_heat_prod,GSHP,5,20
19,0.0,H_heat_prod,NG_boiler,1,23
19,0.0,H_heat_prod,E_boiler,3,11
19,0.0,H_heat_prod,NG_boiler,4,8
19,0.0,H_heat_prod,ASHP,6,17
19,0.0,H_heat_prod,NG_boiler,13,17
19,0.0,H_heat_prod,NG_boiler,10,15
19,0.0,H_heat_prod,E_boiler,6,12
19,0.0,H_heat_prod,NG_boiler,6,10
19,0.0,H_heat_prod,NG_boiler,12,11
