SSP,Decade,Day,Hour,Loss_type,Value
past,2020s,12,0,Wall,-423.5199479051724
past,2020s,12,0,Ventilation,-16.940797916206897
past,2020s,12,0,Solar,0.015272005423599761
past,2020s,12,0,Internal,105.0
past,2020s,12,1,Wall,-440.55956148123414
past,2020s,12,1,Ventilation,-17.622382459249366
past,2020s,12,1,Solar,0.047420626666934876
past,2020s,12,1,Internal,105.0
past,2020s,12,2,Wall,-454.5618771295918
past,2020s,12,2,Ventilation,-18.182475085183672
past,2020s,12,2,Solar,0.07726902214413357
past,2020s,12,2,Internal,105.0
past,2020s,12,3,Wall,-465.86488239986977
past,2020s,12,3,Ventilation,-18.634595295994792
past,2020s,12,3,Solar,0.12970393979120434
past,2020s,12,3,Internal,105.0
past,2020s,12,4,Wall,-472.3378233194745
past,2020s,12,4,Ventilation,-18.893512932778982
past,2020s,12,4,Solar,5.443172424662557
past,2020s,12,4,Internal,105.0
past,2020s,12,5,Wall,-459.7260858416624
past,2020s,12,5,Ventilation,-18.389043433666497
past,2020s,12,5,Solar,43.55448780480889
past,2020s,12,5,Internal,105.0
past,2020s,12,6,Wall,-422.5835072558266
past,2020s,12,6,Ventilation,-16.903340290233064
past,2020s,12,6,Solar,111.4005110237287
past,2020s,12,6,Internal,105.0
past,2020s,12,7,Wall,-367.52991042259424
past,2020s,12,7,Ventilation,-14.70119641690377
past,2020s,12,7,Solar,189.6801351103288
past,2020s,12,7,Internal,105.0
past,2020s,12,8,Wall,-304.59637709541965
past,2020s,12,8,Ventilation,-97.4708406705343
past,2020s,12,8,Solar,255.30943797426966
past,2020s,12,8,Internal,700.0
past,2020s,12,9,Wall,-256.50841946406246
past,2020s,12,9,Ventilation,-82.08269422849999
past,2020s,12,9,Solar,298.6832099348834
past,2020s,12,9,Internal,700.0
past,2020s,12,10,Wall,-212.3767961935198
past,2020s,12,10,Ventilation,-67.96057478192634
past,2020s,12,10,Solar,318.31330942216454
past,2020s,12,10,Internal,700.0
past,2020s,12,11,Wall,-176.06823338297005
past,2020s,12,11,Ventilation,-56.34183468255042
past,2020s,12,11,Solar,329.0572504502806
past,2020s,12,11,Internal,700.0
past,2020s,12,12,Wall,-153.30184701399048
past,2020s,12,12,Ventilation,-49.05659104447696
past,2020s,12,12,Solar,347.222186843081
past,2020s,12,12,Internal,700.0
past,2020s,12,13,Wall,-151.19125454037345
past,2020s,12,13,Ventilation,-48.381201452919505
past,2020s,12,13,Solar,366.32777206669346
past,2020s,12,13,Internal,700.0
past,2020s,12,14,Wall,-149.13832488025037
past,2020s,12,14,Ventilation,-47.72426396168012
past,2020s,12,14,Solar,366.03179208934597
past,2020s,12,14,Internal,700.0
past,2020s,12,15,Wall,-165.79831887331437
past,2020s,12,15,Ventilation,-53.0554620394606
past,2020s,12,15,Solar,330.5861496018745
past,2020s,12,15,Internal,700.0
past,2020s,12,16,Wall,-204.18940156550576
past,2020s,12,16,Ventilation,-65.34060850096185
past,2020s,12,16,Solar,260.19277571082125
past,2020s,12,16,Internal,700.0
past,2020s,12,17,Wall,-262.573963652423
past,2020s,12,17,Ventilation,-84.02366836877536
past,2020s,12,17,Solar,166.50164014469104
past,2020s,12,17,Internal,700.0
past,2020s,12,18,Wall,-335.8665681684843
