SSP,Decade,Day,Hour,T_min_unmet,T_max_unmet,penalty_T_min_unmet,penalty_T_max_unmet
past,2020s,12,0,0.0,0.0,0.0,0.0
past,2020s,12,1,0.0,0.0,0.0,0.0
past,2020s,12,2,0.0,0.0,0.0,0.0
past,2020s,12,3,0.0,0.0,0.0,0.0
past,2020s,12,4,0.0,0.0,0.0,0.0
past,2020s,12,5,0.0,0.0,0.0,0.0
past,2020s,12,6,0.0,0.0,0.0,0.0
past,2020s,12,7,0.0,0.0,0.0,0.0
past,2020s,12,8,0.0,0.0,0.0,0.0
past,2020s,12,9,0.0,0.0,0.0,0.0
past,2020s,12,10,0.0,0.0,0.0,0.0
past,2020s,12,11,0.0,0.0,0.0,0.0
past,2020s,12,12,0.0,0.0,0.0,0.0
past,2020s,12,13,0.0,0.0,0.0,0.0
past,2020s,12,14,0.0,0.0,0.0,0.0
past,2020s,12,15,0.0,0.0,0.0,0.0
past,2020s,12,16,0.0,0.0,0.0,0.0
past,2020s,12,17,0.0,0.0,0.0,0.0
past,2020s,12,18,0.0,0.0,0.0,0.0
past,2020s,12,19,0.0,0.0,0.0,0.0
past,2020s,12,20,0.0,0.0,0.0,0.0
past,2020s,12,21,0.0,0.0,0.0,0.0
past,2020s,12,22,0.0,0.0,0.0,0.0
past,2020s,12,23,0.0,0.0,0.0,0.0
past,2020s,4,0,0.0,0.0,0.0,0.0
past,2020s,4,1,0.0,0.0,0.0,0.0
past,2020s,4,2,0.0,0.0,0.0,0.0
past,2020s,4,3,0.0,0.0,0.0,0.0
past,2020s,4,4,0.0,0.0,0.0,0.0
past,2020s,4,5,0.0,0.0,0.0,0.0
past,2020s,4,6,0.0,0.0,0.0,0.0
past,2020s,4,7,0.0,0.0,0.0,0.0
past,2020s,4,8,0.0,0.0,0.0,0.0
past,2020s,4,9,0.0,0.0,0.0,0.0
past,2020s,4,10,0.0,0.0,0.0,0.0
past,2020s,4,11,0.0,0.0,0.0,0.0
past,2020s,4,12,0.0,0.0,0.0,0.0
past,2020s,4,13,0.0,0.0,0.0,0.0
past,2020s,4,14,0.0,0.0,0.0,0.0
past,2020s,4,15,0.0,0.0,0.0,0.0
past,2020s,4,16,0.0,0.0,0.0,0.0
past,2020s,4,17,0.0,0.0,0.0,0.0
past,2020s,4,18,0.0,0.0,0.0,0.0
past,2020s,4,19,0.0,0.0,0.0,0.0
past,2020s,4,20,0.0,0.0,0.0,0.0
past,2020s,4,21,0.0,0.0,0.0,0.0
past,2020s,4,22,0.0,0.0,0.0,0.0
past,2020s,4,23,0.0,0.0,0.0,0.0
past,2020s,6,0,0.0,0.0,0.0,0.0
past,2020s,6,1,0.0,0.0,0.0,0.0
past,2020s,6,2,0.0,0.0,0.0,0.0
past,2020s,6,3,0.0,0.0,0.0,0.0
past,2020s,6,4,0.0,0.0,0.0,0.0
past,2020s,6,5,0.0,0.0,0.0,0.0
past,2020s,6,6,0.0,0.0,0.0,0.0
past,2020s,6,7,0.0,0.0,0.0,0.0
past,2020s,6,8,0.0,0.0,0.0,0.0
past,2020s,6,9,0.0,0.0,0.0,0.0
past,2020s,6,10,0.0,0.0,0.0,0.0
past,2020s,6,11,0.0,0.0,0.0,0.0
past,2020s,6,12,0.0,0.0,0.0,0.0
past,2020s,6,13,0.0,0.0,0.0,0.0
past,2020s,6,14,0.0,0.0,0.0,0.0
past,2020s,6,15,0.0,0.0,0.0,0.0
past,2020s,6,16,0.0,0.0,0.0,0.0
past,2020s,6,17,0.0,0.0,0.0,0.0
past,2020s,6,18,0.0,0.0,0.0,0.0
past,2020s,6,19,0.0,0.0,0.0,0.0
past,2020s,6,20,0.0,0.0,0.0,0.0
past,2020s,6,21,0.0,0.0,0.0,0.0
past,2020s,6,22,0.0,0.0,0.0,0.0
past,2020s,6,23,0.0,0.0,0.0,0.0
past,2020s,9,0,0.0,0.0,0.0,0.0
past,2020s,9,1,0.0,0.0,0.0,0.0
past,2020s,9,2,0.0,0.0,0.0,0.0
past,2020s,9,3,0.0,0.0,0.0,0.0
past,2020s,9,4,0.0,0.0,0.0,0.0
