SSP,Decade,Technology,Day,Hour,Sign,Balance,PrimaryType,Primary,OPEX,CO2,CO2_tax
past,2020s,GSHP,12,0,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,0,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,NG_boiler,12,0,Heating,0.0,Gas,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,0,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,0,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,E_boiler,12,0,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,1,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,1,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,NG_boiler,12,1,Heating,0.0,Gas,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,1,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,1,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,E_boiler,12,1,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,2,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,2,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,NG_boiler,12,2,Heating,0.0,Gas,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,2,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,2,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,E_boiler,12,2,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,3,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,3,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,NG_boiler,12,3,Heating,0.0,Gas,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,3,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,3,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,E_boiler,12,3,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,4,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,4,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,NG_boiler,12,4,Heating,0.0,Gas,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,4,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,4,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,E_boiler,12,4,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,5,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,5,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,NG_boiler,12,5,Heating,0.0,Gas,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,5,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,5,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,E_boiler,12,5,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,6,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,6,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,NG_boiler,12,6,Heating,0.0,Gas,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,6,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,6,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,E_boiler,12,6,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,7,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,7,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,NG_boiler,12,7,Heating,0.0,Gas,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,7,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,7,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,E_boiler,12,7,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,8,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,8,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,NG_boiler,12,8,Heating,0.0,Gas,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,8,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,ASHP,12,8,Cooling,-0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,E_boiler,12,8,Heating,0.0,Elec,0.0,0.0,0.0,0.0
past,2020s,GSHP,12,9,Heating,0.0,Elec,0.0,0.0,0.0,0.0
