period,ssp,tech,power,cost,th_max,th_min,th_eff
2020s,past,Geothermal,0.0,0.0,0.0,0.0,0.0
2020s,past,Boiler,0.0,0.0,0.0,0.0,0.0
2020s,past,HeatPump,0.0,0.0,0.0,0.0,0.0
2020s,past,BTES,0.0,0.0,0.0,0.0,0.0
2030s,ssp126,Geothermal,0.023735033932591056,7120.510179777317,0.38729102186916076,0.11682977077469632,0.17155492178849588
2030s,ssp126,Boiler,0.6661435428684952,66614.35428684951,0.5995291885816457,0.5995291885816457,0.5995291885816458
2030s,ssp126,HeatPump,0.21695806209079213,108479.03104539607,3.245150213723023,0.610241040643658,1.517989183460878
2030s,ssp126,BTES,0.09309473684210526,74475.78947368421,0.09309473684210526,0.09309473684210526,0.09309473684210526
2030s,ssp245,Geothermal,0.02308280715138982,6924.842145416947,0.376648459600269,0.11617754399349507,0.16979546449743796
2030s,ssp245,Boiler,0.617685874548856,61768.5874548856,0.5559172870939705,0.5559172870939705,0.5559172870939704
2030s,ssp245,HeatPump,0.21141877571986525,105709.38785993263,3.162296337829884,0.6102851689125346,1.559486275490055
2030s,ssp245,BTES,0.09309473684210526,74475.78947368421,0.09309473684210526,0.09309473684210526,0.09309473684210526
2030s,ssp370,Geothermal,0.03658589249018771,10975.767747056314,0.596981985733072,0.17622799775334563,0.26063842108218727
2030s,ssp370,Boiler,0.5995837780892466,59958.377808924655,0.5396254002803219,0.5396254002803219,0.5396254002803218
2030s,ssp370,HeatPump,0.23878472500671402,119392.36250335701,3.5716225242879243,0.6549666019663326,1.758373604655775
2030s,ssp370,BTES,0.1396421052631579,111713.68421052632,0.1396421052631579,0.1396421052631579,0.1396421052631579
2030s,ssp585,Geothermal,0.028355793946584985,8506.738183975496,0.46268922322477624,0.1427168921480812,0.2143104465785672
2030s,ssp585,Boiler,0.6387333333333334,63873.333333333336,0.57486,0.57486,0.5748599999999999
2030s,ssp585,HeatPump,0.2467761186451035,123388.05932255174,3.691153794634135,0.7123482989536377,1.8397028127250665
2030s,ssp585,BTES,0.1143610982014962,91488.87856119697,0.1143610982014962,0.1143610982014962,0.1143610982014962
2040s,ssp126,Geothermal,0.034624210727084735,10387.263218125421,0.5649726894004036,0.17426631599024262,0.24992797329533983
2040s,ssp126,Boiler,0.6290818364353461,62908.18364353461,0.5661736527918115,0.5661736527918115,0.5661736527918115
2040s,ssp126,HeatPump,0.18774222896133438,93871.1144806672,2.8081543896891588,0.541940031217946,1.2936369195152533
